HH0,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,HH11,HH12,HH13,HH14,HH15,HH16,HH17,HH18,HH19,HH20,HH21,HH22,HH23,HH24,HH25,HH26,HH27,HH28,HH29,Cd,Cl
0.001198838,0.001042551,0.001172962,-0.001806048,4.26E-05,0.003793353,-0.003860484,-0.000820666,9.86E-05,0.005090797,-0.000970721,-0.004721884,0.00056748,0.004741689,-0.003640129,0.003765911,-0.001107671,-0.002333684,-0.001961349,0.000690246,0.003368965,-0.001560336,0.00291855,0.002377849,0.001630533,-0.001476338,-0.00335411,0.001998124,0.001665828,-0.003077893,0.029832,0.33905
-0.001469653,-0.001900017,-0.003857822,0.002580484,0.004510774,0.00081293,-0.001569273,-0.003741798,0.005090557,0.005521612,0.005320424,0.005282045,0.002818675,-0.004402185,-0.003112565,0.003166952,0.002368207,0.003882379,0.001254411,-0.000823262,0.002167384,0.002674147,-0.003493584,0.003302829,0.002551506,-0.000120449,0.000730057,0.001237213,0.003401996,-8.37E-05,0.131017,0.106484
0.001276601,-0.000534048,5.89E-05,0.001085806,0.002101857,-0.001672947,-0.006287291,-0.005776595,0.00201426,-0.003048177,0.003573556,-0.000904472,0.002173396,-0.003814456,4.94E-05,0.001942902,0.003273867,-0.000533472,-0.001090249,0.002951102,5.53E-05,0.003242147,-0.00230953,-0.001722687,-0.002826976,0.002878114,-0.001320554,-3.94E-05,0.001477049,0.002179462,0.008843,0.372735
0.002975203,-0.002983278,0.003963498,0.002954811,-0.000738594,0.003859128,0.005119994,0.002310459,-0.004952838,-0.005543443,-0.00019023,0.00215364,0.004667028,-0.004634037,-0.002329714,0.000229456,0.00193722,-0.001238488,0.002710599,-0.000794512,0.002192687,0.000648741,-0.000911368,0.001343447,-0.002266743,-0.002309195,-0.003553747,-0.002587338,0.00318233,-0.001915865,0.024076,0.209659
0.001138981,-0.002746808,0.001135452,-0.002558274,-0.004192389,0.002269002,-0.000701246,0.00521272,-0.004026397,0.003719922,-0.001186515,0.00377308,-0.00038241,0.002184365,-0.000798875,0.000608549,0.000925433,-0.002934247,0.00253255,0.001978373,-0.003772503,0.00232289,-0.000359613,0.000729348,0.00275896,-0.0017183,0.001727169,-0.000258769,0.000581198,-0.000865172,0.118093,0.122438
-0.001767671,0.00102632,-0.003671897,-0.002326333,-0.000350936,0.000971413,0.004099898,0.001934734,-0.001885369,0.002445755,8.16E-05,0.000310088,0.001036262,-0.001291254,0.002981745,0.002356988,-0.000798093,0.003025658,-0.001512894,0.001650956,0.002792431,0.001815707,0.00218274,0.001868677,0.000711982,-0.002533957,0.001613587,0.001271718,-0.001881828,0.000531132,0.02559,0.341599
-0.002022219,0.002777165,0.001753713,0.002136794,0.001583059,-0.002585132,0.004370383,-0.003469942,-0.000358344,-0.001851109,0.005373925,0.001375982,0.003036273,-0.004274765,-0.001978386,-0.001481093,-0.002510031,-0.002876388,0.001184226,-0.001424477,0.003653333,-0.000379761,-0.003711294,-0.00274801,0.001110353,-0.003446855,0.001309805,0.001763078,0.001597485,-0.00332042,0.119961,0.085128
0.00032321,0.002036603,0.004129009,-0.000380231,-0.000628591,-0.000636241,-0.002811675,0.000186242,0.002167314,0.002112262,0.004584162,-0.004443819,0.003688804,-0.003442307,0.001669757,0.003456823,0.003756489,0.001982133,-0.00290176,0.003752698,0.00104009,-0.000931421,-0.002294021,-0.001701442,0.003247306,-0.000192565,0.002461501,-0.002983162,-0.001188685,-0.001113272,0.019575,0.225524
0.000300339,-0.000346713,-0.003225761,-0.003635621,0.000700085,-0.003764797,-0.005235144,0.003341151,-0.005169018,-0.00486795,0.003255945,-0.002840786,0.004376284,0.00204456,0.001354523,-0.003274047,-0.00307247,-0.001174296,0.00296466,0.001123519,0.002099162,-0.002190235,0.003709099,0.002865097,-0.002878785,0.00155143,0.00269727,0.00264658,0.001278167,-0.001586443,0.09494,0.102972
0.002771511,0.002594332,0.000166464,0.003521899,-0.005461044,0.000761376,-0.004337168,-0.00522451,-0.004013941,-0.004294291,-0.005351903,0.004839546,0.004743963,-0.002950075,-0.000971211,-0.000986189,0.003161156,0.001046591,-0.002703786,0.002249868,0.002981789,0.002995428,0.003687035,-0.00044976,0.000378024,-0.001159859,0.000930752,-0.001031495,-0.000863774,0.001409597,0.017022,0.374301
